LOKALNYID,ULICA_LOKALNYID,ULICA_NAZWA,NUMER_ADR,KOD_POCZTOWY,ETYKIETA_NAZWA_SKROCONA
pa_32869,ul_1742,ul. 3 Maja,11,52-119,3 Maja 11
pa_47201,ul_1742,ul. 3 Maja,12,52-119,3 Maja 12
pa_34880,ul_1742,ul. 3 Maja,13,52-119,3 Maja 13
pa_51240,ul_1742,ul. 3 Maja,13d,52-119,3 Maja 13d
pa_39299,ul_1742,ul. 3 Maja,1b,52-119,3 Maja 1b
pa_37372,ul_1742,ul. 3 Maja,2a,52-119,3 Maja 2a
pa_21856,ul_1742,ul. 3 Maja,2b,52-119,3 Maja 2b
pa_27949,ul_1742,ul. 3 Maja,4a,52-119,3 Maja 4a
pa_29265,ul_1742,ul. 3 Maja,4b,52-119,3 Maja 4b
pa_54141,ul_1742,ul. 3 Maja,5a,52-119,3 Maja 5a
pa_22401,ul_1742,ul. 3 Maja,5b,52-119,3 Maja 5b
pa_10350,ul_1742,ul. 3 Maja,6a,52-119,3 Maja 6a
pa_29299,ul_1742,ul. 3 Maja,6b,52-119,3 Maja 6b
pa_29267,ul_1742,ul. 3 Maja,7,52-119,3 Maja 7
pa_74486,ul_2854,ul. 8 Maja,12,51-671,8 Maja 12
pa_74653,ul_2854,ul. 8 Maja,13,51-671,8 Maja 13
pa_74536,ul_2854,ul. 8 Maja,14,51-671,8 Maja 14
pa_74538,ul_2854,ul. 8 Maja,16,51-671,8 Maja 16
pa_74541,ul_2854,ul. 8 Maja,18,51-671,8 Maja 18
pa_74544,ul_2854,ul. 8 Maja,20,51-671,8 Maja 20
pa_74550,ul_2854,ul. 8 Maja,22,51-671,8 Maja 22
pa_74551,ul_2854,ul. 8 Maja,24,51-671,8 Maja 24
pa_74552,ul_2854,ul. 8 Maja,26,51-671,8 Maja 26
pa_74553,ul_2854,ul. 8 Maja,28,51-671,8 Maja 28
pa_74566,ul_2854,ul. 8 Maja,30,51-671,8 Maja 30
pa_74572,ul_2854,ul. 8 Maja,32,51-671,8 Maja 32
pa_74573,ul_2854,ul. 8 Maja,34,51-671,8 Maja 34
pa_74575,ul_2854,ul. 8 Maja,36,51-671,8 Maja 36
pa_74576,ul_2854,ul. 8 Maja,38,51-671,8 Maja 38
pa_74577,ul_2854,ul. 8 Maja,40,51-671,8 Maja 40
pa_74579,ul_2854,ul. 8 Maja,42,51-671,8 Maja 42
pa_74581,ul_2854,ul. 8 Maja,44,51-671,8 Maja 44
pa_74583,ul_2854,ul. 8 Maja,46,51-671,8 Maja 46
pa_74586,ul_2854,ul. 8 Maja,48,51-671,8 Maja 48
pa_74593,ul_2854,ul. 8 Maja,50,51-671,8 Maja 50
pa_74595,ul_2854,ul. 8 Maja,52,51-671,8 Maja 52
pa_74598,ul_2854,ul. 8 Maja,54,51-671,8 Maja 54
pa_74602,ul_2854,ul. 8 Maja,56,51-671,8 Maja 56
pa_74606,ul_2854,ul. 8 Maja,58,51-671,8 Maja 58
pa_74608,ul_2854,ul. 8 Maja,60,51-671,8 Maja 60
pa_74626,ul_2854,ul. 8 Maja,62,51-671,8 Maja 62
pa_74627,ul_2854,ul. 8 Maja,64,51-671,8 Maja 64
pa_74628,ul_2854,ul. 8 Maja,66,51-671,8 Maja 66
pa_74629,ul_2854,ul. 8 Maja,68,51-671,8 Maja 68
pa_74638,ul_2854,ul. 8 Maja,70,51-671,8 Maja 70
pa_74645,ul_2854,ul. 8 Maja,72,51-671,8 Maja 72
pa_74646,ul_2854,ul. 8 Maja,74,51-671,8 Maja 74
pa_74647,ul_2854,ul. 8 Maja,76,51-671,8 Maja 76
pa_74648,ul_2854,ul. 8 Maja,78,51-671,8 Maja 78
pa_74654,ul_2854,ul. 8 Maja,78a,51-671,8 Maja 78a
pa_74649,ul_2854,ul. 8 Maja,80,51-671,8 Maja 80
pa_74650,ul_2854,ul. 8 Maja,82,51-671,8 Maja 82
pa_74651,ul_2854,ul. 8 Maja,84,51-671,8 Maja 84
pa_74652,ul_2854,ul. 8 Maja,86,51-671,8 Maja 86
pa_34966,ul_971,ul. Edwarda Abramowskiego,1,51-663,Abramowskiego 1
pa_7164,ul_971,ul. Edwarda Abramowskiego,10,51-663,Abramowskiego 10
pa_28361,ul_971,ul. Edwarda Abramowskiego,11,51-663,Abramowskiego 11
pa_20729,ul_971,ul. Edwarda Abramowskiego,12,51-663,Abramowskiego 12
pa_51385,ul_971,ul. Edwarda Abramowskiego,13,51-663,Abramowskiego 13
pa_26637,ul_971,ul. Edwarda Abramowskiego,14,51-663,Abramowskiego 14
pa_26020,ul_971,ul. Edwarda Abramowskiego,15,51-663,Abramowskiego 15
pa_8326,ul_971,ul. Edwarda Abramowskiego,16,51-663,Abramowskiego 16
pa_11388,ul_971,ul. Edwarda Abramowskiego,17,51-663,Abramowskiego 17
pa_46138,ul_971,ul. Edwarda Abramowskiego,18,51-663,Abramowskiego 18
pa_49488,ul_971,ul. Edwarda Abramowskiego,19,51-663,Abramowskiego 19
pa_24053,ul_971,ul. Edwarda Abramowskiego,1a,51-663,Abramowskiego 1a
pa_38814,ul_971,ul. Edwarda Abramowskiego,2,51-663,Abramowskiego 2
pa_6783,ul_971,ul. Edwarda Abramowskiego,20,51-663,Abramowskiego 20
pa_39069,ul_971,ul. Edwarda Abramowskiego,21,51-663,Abramowskiego 21
pa_33686,ul_971,ul. Edwarda Abramowskiego,22,51-663,Abramowskiego 22
pa_46052,ul_971,ul. Edwarda Abramowskiego,23,51-663,Abramowskiego 23
pa_53844,ul_971,ul. Edwarda Abramowskiego,24,51-663,Abramowskiego 24
pa_56429,ul_971,ul. Edwarda Abramowskiego,25,51-663,Abramowskiego 25
pa_18782,ul_971,ul. Edwarda Abramowskiego,26,51-663,Abramowskiego 26
pa_22650,ul_971,ul. Edwarda Abramowskiego,27,51-663,Abramowskiego 27
pa_51226,ul_971,ul. Edwarda Abramowskiego,28,51-663,Abramowskiego 28
pa_46901,ul_971,ul. Edwarda Abramowskiego,29,51-663,Abramowskiego 29
pa_58361,ul_971,ul. Edwarda Abramowskiego,2a,51-663,Abramowskiego 2a
pa_21451,ul_971,ul. Edwarda Abramowskiego,3,51-663,Abramowskiego 3
pa_11502,ul_971,ul. Edwarda Abramowskiego,30,51-663,Abramowskiego 30
pa_35014,ul_971,ul. Edwarda Abramowskiego,31,51-663,Abramowskiego 31
pa_10573,ul_971,ul. Edwarda Abramowskiego,32,51-663,Abramowskiego 32
pa_23137,ul_971,ul. Edwarda Abramowskiego,33,51-663,Abramowskiego 33
pa_33452,ul_971,ul. Edwarda Abramowskiego,34,51-663,Abramowskiego 34
pa_31705,ul_971,ul. Edwarda Abramowskiego,35,51-663,Abramowskiego 35
pa_53350,ul_971,ul. Edwarda Abramowskiego,36,51-663,Abramowskiego 36
pa_38777,ul_971,ul. Edwarda Abramowskiego,37,51-663,Abramowskiego 37
pa_50295,ul_971,ul. Edwarda Abramowskiego,38,51-663,Abramowskiego 38
pa_29759,ul_971,ul. Edwarda Abramowskiego,39,51-663,Abramowskiego 39
pa_24605,ul_971,ul. Edwarda Abramowskiego,4,51-663,Abramowskiego 4
pa_19105,ul_971,ul. Edwarda Abramowskiego,40,51-663,Abramowskiego 40
pa_32890,ul_971,ul. Edwarda Abramowskiego,41,51-663,Abramowskiego 41
pa_21665,ul_971,ul. Edwarda Abramowskiego,42,51-663,Abramowskiego 42
pa_20173,ul_971,ul. Edwarda Abramowskiego,43,51-663,Abramowskiego 43
pa_17678,ul_971,ul. Edwarda Abramowskiego,44,51-663,Abramowskiego 44
pa_19187,ul_971,ul. Edwarda Abramowskiego,45,51-663,Abramowskiego 45
pa_23731,ul_971,ul. Edwarda Abramowskiego,46,51-663,Abramowskiego 46
pa_36831,ul_971,ul. Edwarda Abramowskiego,47,51-663,Abramowskiego 47
pa_57715,ul_971,ul. Edwarda Abramowskiego,48,51-663,Abramowskiego 48
pa_19577,ul_971,ul. Edwarda Abramowskiego,49,51-663,Abramowskiego 49
pa_12071,ul_971,ul. Edwarda Abramowskiego,5,51-663,Abramowskiego 5
pa_27878,ul_971,ul. Edwarda Abramowskiego,50,51-663,Abramowskiego 50
pa_16204,ul_971,ul. Edwarda Abramowskiego,51,51-663,Abramowskiego 51
pa_18283,ul_971,ul. Edwarda Abramowskiego,52,51-663,Abramowskiego 52
pa_59525,ul_971,ul. Edwarda Abramowskiego,53,51-663,Abramowskiego 53
pa_23684,ul_971,ul. Edwarda Abramowskiego,54,51-663,Abramowskiego 54
pa_36334,ul_971,ul. Edwarda Abramowskiego,55,51-663,Abramowskiego 55
pa_33074,ul_971,ul. Edwarda Abramowskiego,56,51-663,Abramowskiego 56
pa_15287,ul_971,ul. Edwarda Abramowskiego,57,51-663,Abramowskiego 57
pa_26037,ul_971,ul. Edwarda Abramowskiego,58,51-663,Abramowskiego 58
pa_19849,ul_971,ul. Edwarda Abramowskiego,59,51-663,Abramowskiego 59
pa_24441,ul_971,ul. Edwarda Abramowskiego,6,51-663,Abramowskiego 6
pa_12302,ul_971,ul. Edwarda Abramowskiego,60,51-663,Abramowskiego 60
pa_14439,ul_971,ul. Edwarda Abramowskiego,61,51-663,Abramowskiego 61
pa_23119,ul_971,ul. Edwarda Abramowskiego,62,51-663,Abramowskiego 62
pa_56897,ul_971,ul. Edwarda Abramowskiego,63,51-663,Abramowskiego 63
pa_18480,ul_971,ul. Edwarda Abramowskiego,64,51-663,Abramowskiego 64
