IMIĘ_PIERWSZE;LICZBA_WYSTĄPIEŃ
ANTONI;8368
JAN;7658
ALEKSANDER;7165
JAKUB;7162
FRANCISZEK;7124
SZYMON;6083
FILIP;5474
MIKOŁAJ;5368
LEON;5018
STANISŁAW;4963
WOJCIECH;4687
ADAM;4469
KACPER;4286
TYMON;4220
NIKODEM;4171
MARCEL;4054
IGNACY;3867
MICHAŁ;3484
WIKTOR;3362
IGOR;2982
OLIWIER;2959
MAKSYMILIAN;2849
PIOTR;2839
TYMOTEUSZ;2691
MIŁOSZ;2561
OSKAR;2156
JULIAN;2106
BARTOSZ;2027
DAWID;2025
MATEUSZ;1913
KRZYSZTOF;1755
GABRIEL;1717
KAROL;1717
ALAN;1671
DOMINIK;1568
HUBERT;1520
TOMASZ;1478
MACIEJ;1460
FABIAN;1446
BRUNO;1292
PAWEŁ;1188
NATAN;1145
KSAWERY;1073
KAMIL;948
BORYS;911
BARTŁOMIEJ;899
ARTUR;886
TADEUSZ;876
PATRYK;841
CEZARY;820
KAJETAN;819
KUBA;798
ADRIAN;747
OLAF;741
HENRYK;703
GRZEGORZ;670
SEBASTIAN;647
DANIEL;591
ERYK;580
KORNEL;574
KRYSTIAN;567
WITOLD;552
KAZIMIERZ;551
JÓZEF;550
RAFAŁ;493
TEODOR;488
MILAN;479
JERZY;479
STEFAN;475
TOBIASZ;473
MIESZKO;473
ŁUKASZ;469
LEONARD;461
EMIL;431
GUSTAW;418
MARCIN;417
DAMIAN;413
OLIVIER;404
ROBERT;402
BŁAŻEJ;385
KONSTANTY;385
PRZEMYSŁAW;375
LEO;340
NATANIEL;324
RYSZARD;322
FELIKS;317
MAREK;308
RADOSŁAW;307
KONRAD;300
ALEX;300
DORIAN;290
JULIUSZ;283
JEREMI;283
ALEKS;282
REMIGIUSZ;255
FLORIAN;254
SAMUEL;220
ARKADIUSZ;214
GRACJAN;212
ALBERT;212
KORDIAN;200
MAKSYM;200
JĘDRZEJ;199
IWO;193
ALEXANDER;189
LUCJAN;188
ANDRZEJ;184
JACEK;181
LUDWIK;175
BRAJAN;165
WŁADYSŁAW;158
HUGO;153
ALEKSY;149
BENIAMIN;147
SEWERYN;144
ERNEST;138
MARK;136
MAURYCY;134
DAVID;127
JEREMIASZ;123
FRYDERYK;121
ROMAN;115
NORBERT;108
OLGIERD;102
EDWARD;99
OLIVER;99
KOSMA;93
ARON;91
CYPRIAN;91
SZCZEPAN;89
DARIUSZ;83
MAKS;80
ZBIGNIEW;79
TYTUS;76
JOACHIM;75
OKTAWIAN;74
MARIUSZ;74
WINCENTY;74
MAXIMILIAN;73
MARCELI;70
LIAM;70
OLIWER;68
BOGDAN;64
KASJAN;61
EMILIAN;61
BERNARD;60
MAX;56
GNIEWOMIR;56
ARTEM;55
BRUNON;54
DENIS;54
MIRON;51
ZACHARY;51
VINCENT;51
BENJAMIN;51
KSAWIER;51
SYLWESTER;49
ZIEMOWIT;49
NIKOLAS;48
WINCENT;48
LEONARDO;47
MARTIN;46
LESZEK;46
VIKTOR;45
JONASZ;44
KEVIN;43
KORNELIUSZ;43
KASPIAN;42
TEO;42
LEOPOLD;42
FRANEK;41
BOLESŁAW;41
JAROSŁAW;40
OLEG;40
BOGUSŁAW;39
SŁAWOMIR;39
ZYGMUNT;39
MIROSŁAW;38
AMADEUSZ;38
NICOLAS;38
OLEK;38
XAVIER;37
CZESŁAW;37
EMANUEL;36
ROCH;36
JONATAN;36
LEW;35
VICTOR;35
ELIASZ;35
NOEL;35
IVAN;35
NATHAN;34
IRENEUSZ;34
BENEDYKT;33
FELICJAN;33
GNIEWKO;33
MATVII;31
NIKITA;30
OLEKSANDR;30
MICHAEL;29
OSCAR;28
FELIX;28
TIMUR;28
AARON;28
ANTONIO;27
SERGIUSZ;26
AUGUSTYN;26
MIECZYSŁAW;26
ZACHARIASZ;25
BRAYAN;25
COLIN;25
IVO;24
KRZESIMIR;24
HIERONIM;23
BOGUMIŁ;23
WIT;23
KAI;23
DMYTRO;23
NOAH;23
KLEMENS;22
ALEK;22
OREST;22
THEO;21
MAKAR;21
EDGAR;21
HEKTOR;21
MARIAN;20
NAZAR;20
KEWIN;20
GERARD;20
JANUSZ;19
BRONISŁAW;19
EDMUND;19
ANTHONY;18
KAJ;18
MAKSIM;18
WŁODZIMIERZ;18
BARTEK;18
KASPER;18
HENRY;18
DOBROMIR;17
WILLIAM;17
MAKARY;17
LUCAS;17
DANIIL;17
TEOFIL;17
AMIR;17
GNIEWOSZ;17
MARKO;17
ANTEK;17
ANTON;17
RAYAN;16
LUKA;16
IWAN;16
KILIAN;16
LOUIS;16
MYKHAILO;16
DYLAN;16
NATHANIEL;15
SAMBOR;15
XAWERY;15
DAVYD;15
MAXYMILIAN;15
LUIS;15
TYMOFII;14
JOEL;14
KRYSPIN;14
ERIC;14
KONSTANTYN;14
DIEGO;14
DANYLO;14
NIKO;14
WOJTEK;14
ARIEL;14
ERIK;14
MARKUS;14
ELIAS;14
NOE;13
LUCA;13
ARTHUR;13
AUGUST;13
NATANAEL;12
WALDEMAR;12
TYCJAN;12
MAXIM;12
FRANCESCO;12
VLADISLAV;12
MANUEL;12
DAMIR;12
JACOB;12
ANDRII;11
ARIAN;11
TRISTAN;11
MATVEY;11
ERWIN;11
ZENON;11
MARCO;11
LUKAS;11
ARSEN;11
BASTIAN;11
ZACHAR;11
CYRYL;10
KIRILL;10
PATRICK;10
ANATOL;10
RAFAEL;10
ALI;10
THOMAS;10
DIONIZY;10
EUGENIUSZ;10
DENYS;10
ZAHAR;9
PHILIP;9
SANTIAGO;9
FRANK;9
ILLIA;9
KRISTIAN;9
VLADYSLAV;9
BAZYLI;9
KARIM;9
ITAN;9
WIESŁAW;9
CHRISTIAN;9
LUCJUSZ;9
NICO;8
AURELIUSZ;8
JAMES;8
ARMIN;8
ANTONY;8
PHILIPP;8
IVAR;8
SIEMOWIT;8
MATTEO;8
JAROMIR;8
ZDZISŁAW;8
ZAKHAR;8
RUBEN;8
AXEL;8
AMBROŻY;8
KONSTANTIN;7
VOLODYMYR;7
JAKOB;7
LECH;7
EGOR;7
KLAUDIUSZ;7
JORDAN;7
RYAN;7
NOLAN;7
BOHDAN;7
YAROSLAV;7
LUBOMIR;7
WAWRZYNIEC;7
RADOMIR;7
MATVIJ;7
RICHARD;7
LEV;7
SAMIR;7
MIGUEL;7
OSTAP;7
JOSEPH;7
IAN;7
ALLAN;7
OMAR;7
DANIL;7
ILIA;6
PAUL;6
MILO;6
SAMI;6
MATVIY;6
YEHOR;6
SERAFIN;6
TOBIAS;6
NESTOR;6
DEMIAN;6
RADZIMIR;6
GILBERT;6
PASCAL;6
NICHOLAS;6
MIKHAIL;6
EMMANUEL;6
DAJAN;6
ROLAND;6
BRYAN;6
ALEKSANDR;6
MICHAIŁ;6
GERALD;6
RADEK;6
TIM;6
AIDAN;6
DENNIS;6
EMIR;6
MATVEI;6
ROBIN;6
BARNABA;6
TYBERIUSZ;6
JONATHAN;6
MAGNUS;6
SYRIUSZ;6
MUHAMMAD;6
SIMON;6
RAGNAR;6
TOM;6
DOMINIC;6
THÉO;5
ARSENIUSZ;5
CONOR;5
KYRYLO;5
AIDEN;5
TYMOFIY;5
KALEB;5
DYMITR;5
WILHELM;5
MIKE;5
ILIAN;5
JONAS;5
GLEB;5
PLATON;5
BALTAZAR;5
MICHAL;5
ILYA;5
MARSEL;5
LORENZO;5
BRIAN;5
CASPER;5
EDWIN;5
MIKOLAJ;5
CHARLIE;5
LESŁAW;5
JAROSLAW;5
MIROSLAV;5
MALIK;5
JASON;5
KOSTEK;5
BEN;5
TIMOTHY;5
TIMOFEY;5
ANDRIJ;5
KIRIL;5
DANYIL;5
JANEK;4
IDZI;4
EWAN;4
FABIO;4
KLIMEK;4
HIPOLIT;4
ANGELO;4
MATWIJ;4
YAKUB;4
OTTO;4
YUSUF;4
IBRAHIM;4
PAVEL;4
LUDWIG;4
UMAR;4
MIŁOSŁAW;4
RAJMUND;4
YEGOR;4
LUCIAN;4
FREDERICK;4
KEMAL;4
ZBYSZKO;4
MATVEJ;4
MODEST;4
JEGOR;4
ENZO;4
ANDREI;4
ADEM;4
DANTE;4
ALESSANDRO;4
THEODOR;4
LOGAN;4
MASSIMO;4
ILAN;4
ELIAN;4
ABDULLAH;4
THIAGO;4
ANTOINE;4
TOMAS;4
DACJAN;4
RUSLAN;4
JACK;4
JOHN;4
HERBERT;4
TYMOFIJ;4
MAXIMUS;4
SVIATOSLAV;4
LÉO;4
MYKOLA;4
ZLATAN;4
COLLIN;4
THEODORE;4
ALEXANDRE;3
ILYAS;3
MIHAIL;3
PAVLO;3
RONI;3
GROMOSŁAW;3
SOLOMON;3
HORACY;3
ELIJAH;3
JAVIER;3
FRANCISCO;3
APOLONIUSZ;3
NORMAN;3
MINH KHANG;3
MILES;3
MICHEL;3
MASON;3
ELIOTT;3
STANISLAW;3
WINICJUSZ;3
JASPER;3
KEREM;3
SERHII;3
BRAIAN;3
TEOMAN;3
FEDERICO;3
KENZO;3
WITEK;3
RUPERT;3
JOSHUA;3
BOŻYDAR;3
JEAN;3
ASEN;3
SALVADOR;3
ZACK;3
MATWIEJ;3
YEVHEN;3
MARCUS;3
JIMMY;3
PATRYCJUSZ;3
BOGUSZ;3
LIONEL;3
OLEKSII;3
VLADIMIR;3
MATEO;3
NOA;3
VALENTINO;3
ZAWISZA;3
GEORGE;3
IZYDOR;3
ORLANDO;3
TYMUR;3
VITO;3
YAN;3
CARLO;3
ELIZEUSZ;3
MAXIME;3
PETER;3
MARIO;3
NICK;3
NIKOLAY;3
LAURENTY;3
KARL;3
MASSIMILIANO;3
ARTEMII;3
JURIJ;3
SALWADOR;3
STANISLAV;3
TIAGO;3
KSAVIER;3
FIODOR;3
MATTHEW;3
MICHELE;3
SANTINO;3
CONNOR;3
ROMEO;3
WITOSŁAW;3
IHOR;3
STEPAN;3
YURII;3
TIMOFEI;3
RADOSLAV;3
TADEI;3
JAREMA;3
ZYGFRYD;3
CEZAR;3
JUAN;3
ETHAN;3
JOZUE;3
ISMAEL;3
CONSTANTINE;2
FARUK;2
REYANSH;2
ELDAR;2
VUKAN;2
GIA BAO;2
IDRIS;2
KINAN;2
TRAIAN;2
ÁLVARO;2
LEONID;2
EDUARD;2
DAMINIK;2
HUSSEIN;2
VITALI;2
ORION;2
OKTAVIAN;2
PATRIK;2
NATE;2
AMIN;2
RAYEN;2
LEONEL;2
NIKIFOR;2
MIKAEL;2
DAVIT;2
TUAN ANH;2
ANTONIUSZ;2
ALVARO;2
SEMEN;2
DYZMA;2
DEMYAN;2
DARSH;2
HLIB;2
IBRAGIM;2
PHILIPPE;2
ZAIN;2
FLAVIO;2
ASTON;2
ARAMIS;2
MIHAI;2
MELCHIOR;2
MARAT;2
GAWEŁ;2
ARTURO;2
SELIM;2
DASTIN;2
SAVELII;2
SVYATOSLAV;2
AUGUSTAS;2
EVGENI;2
ROBERTO;2
AVI;2
AVYAAN;2
ARAM;2
DMITRIY;2
MARCELO;2
DAWYD;2
NICOLO;2
MATTI;2
OKTAWIUSZ;2
USTYM;2
KOSTIANTYN;2
MARIUS;2
LUKIAN;2
ŠIMON;2
NIKLAS;2
JOSZKO;2
VITALII;2
DAVIDE;2
IKER;2
EWARYST;2
CHARLES;2
SAID;2
MAXYM;2
RUDOLF;2
EHOR;2
AARAV;2
ARCHIE;2
ISAK;2
RITHVIK;2
DANG KHOI;2
XAWIER;2
SALIM;2
LUAN;2
MINH KHOI;2
MATEUS;2
IOSIF;2
IWAR;2
RYHOR;2
BJORN;2
PABLO;2
OSMAN;2
LEOKADIUSZ;2
RUVIM;2
AKIM;2
MYRON;2
TRAVIS;2
SAMY;2
MAKARIJ;2
CASPIAN;2
QUANG VINH;2
ANASTAZY;2
SERGII;2
EMILIO;2
TIGRAN;2
AURELIO;2
GORDON;2
VALENTIN;2
SŁAWOSZ;2
KASJUSZ;2
MAXIMILIEN;2
NADIR;2
SAMSON;2
TOMÁS;2
TARAS;2
ELVIN;2
PAOLO;2
WASYL;2
FARIS;2
DUY ANH;2
